user,Subject,text
igbell2,Donald Trump, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
sublimeviolets,Donald Trump, Show this clip to all of the people you know who support Donald Trump and claim he isn’t a racist.Decades of documentatio…
RoyRoyrd,Donald Trump,"  Thanks to Donald Trump turning the corner, he could not see the 86,401 new cases of CO… "
DePernaProperty,Donald Trump, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
blue_rose_nc,Donald Trump," “This is why we, two Orthodox American-Israelis and former IDF soldiers who care deeply about Israel’s safety, will be vot…"
tbdnonymous,Donald Trump,Coronavirus response shows Donald Trump's failure of leadership  via 
halfwayhippie,Donald Trump, The Independent:  airs 80-second supercut of 's racist remarks over the past 30 years.…
CrzyTmsJimB,Donald Trump, Donald Trump has not seen it as his duty to represent the majority of Americans who did not vote for him. Joe Biden would…
IfkaTatar,Donald Trump," Study Finds TheSingle Largest Driverof #Coronavirus Misinformation, #Lies, &amp; #HOAX #Denying ?The  REPUBLICANS Don…"
BazileMusic,Donald Trump," Republicans came down harder on Alexandria Ocasio-Cortez for wearing $14,000 worth of clothing in Vanity Fair than they d…"
DaveSayz,Donald Trump, White liberals demonizing Trump a racist also forgot...Whitney Houston was close to Donald Trump. Trump presented Whitney…
katona_barbara,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
FutureGirl2073,Donald Trump,"   Here’s another source similar to yours, but they also include how this sud… "
wbtegra,Donald Trump, David Letterman calling Donald Trump a straight-up racist. In 2012... 
MicheleDianeDR,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
canoetipper_k,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
ed_mac33,Donald Trump," I believe in science.Donald Trump doesn't.It's that simple, folks."
Pagecamper1,Donald Trump, Remember if Democrats vote in massive numbers . Donald Trump cannot contest the election.
SusanVajda,Donald Trump,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…"
HoshinoLady,Donald Trump,"  Perhaps the biggest shock of all does not come from Trump, but from his tens of millions supporters and th…"
Shelsyy_S,Donald Trump," Donald Trump and Republicans had a choice: Take charge of this virus and pass a relief bill, or push through a Supreme Co…"
Meidas_Steve,Donald Trump," The same people who are outraged at AOC for slipping into a borrowed $14,000 outfit for a Vanity Fair photo shoot are…"
OpenMindPsychRN,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
lordjakobi,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
realdonaIdump,Donald Trump," Donald Trump, Jr., laughing, says the 1,004 Americans who died of COVID-19 over the past 24 hours are ""almost nothing.""…"
sharonmwinner,Donald Trump," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…"
HuffPostEnt,Donald Trump,The president's son delivered a whopper during a Fox News interview. 
Lynnjoh16722095,Donald Trump, Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  …
MarifaP,Donald Trump,"  ""Just the facts, ma'am""Thanks to lyin' Donald Trump-Over 23M Americans on unemployment!Tens of thousands of…"
NewsroomJim,Donald Trump, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…
Upson4WV,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
chilakeel,Donald Trump," ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing…"
Angel2daMax,Donald Trump, Americans plan widespread protests if Donald Trump interferes with election || Via: Reuters 
supapally,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
rob0349,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
Fatboy_ElNegro,Donald Trump, Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9…
RajChennai7,Donald Trump," I support Donald Trump, do you?"
timpeters420,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
suemayonline,Donald Trump, 🇺🇸🇺🇸🇺🇸God Bless America &amp; God Bless Donald J. Trump! 🇺🇸🇺🇸🇺🇸#RNC2020  #Trump2020 #KAG #MAGA  #RedNationRising …
FentonHolland,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…"
ANN13951880,Donald Trump, This is Donald Trump’s last Thursday as president.
salthegal123,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
WREN_Nigeria,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
SandHillInsight,Donald Trump,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…"
PR4GM47IC,Donald Trump," If you want to primary Biden &amp; Harris in 2024 after they beat Donald Trump, your best bet is to join the #YangGang, &amp; we'd l…"
jeffl76,Donald Trump," . endorses #BidenHarris2020, stating that they will “restore steadiness and civility to the White House, and thus…"
Karen10290453,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
Cozy1950,Donald Trump," “This is the entire Republican strategy in 2020: not to win the election but to make the winner unknowable, so that Trump ca…"
WREN_Nigeria,Donald Trump, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
JerryTravone,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
cindy_mcphee,Donald Trump, 💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍… 
MarySager0622,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
sunshine_toni,Donald Trump, America’s reputation abroad has plunged during Donald Trump’s presidency. Confidence that he will do the right thing in w…
armanwalker,Donald Trump, Fact check here: 
RGinHarlem,Donald Trump, Please tell me y’all aren’t taking Lil Wayne seriously! Donald Trump said that he loves ❤️ the uneducated this is not surp…
LesterMoe6,Donald Trump, Fascist greedy grifter Trump screws the middle class and poor again 🤬👉he wants to completely unleash greedy corporations — and…
CiAnDy3,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
BARB4TRUMP,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
Jason_9905,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
audiojoe13,Donald Trump, . on Lil Wayne endorsing Trump: “I’m really sick of you gremlin degenerates who come out here and push…
1473music,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
Pagecamper1,Donald Trump, This is Donald Trump’s last Thursday as president.
WilliamMMcKee,Donald Trump, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
DianeEugenio,Donald Trump, Donald Trump has not seen it as his duty to represent the majority of Americans who did not vote for him. Joe Biden would…
ResistOrganize,Donald Trump, ‘Shoot Black People’ is the battle cry Right Wing Extremists chant in the name of Donald Trump.  Is this the kind of g…
louisfarber,Donald Trump,"“The document, a 64-page composition that was later disseminated by close associates of President Donald Trump, app… "
ForsmanJustin,Donald Trump,Three Ballots turned in tonight for Justin Forsman and Donald J. Trump. 
redirectloop,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
fbelad,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
DianeEugenio,Donald Trump, Those who didn't vote in 2016 are showing up early in droves — and more are Democrats. 
cindy_mcphee,Donald Trump, 💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍… 
2013_Lynne,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
ChristopherOrp1,Donald Trump, Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption…
PMIA7,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
Freedom77027217,Donald Trump, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
NadelleWilson,Donald Trump," CIVIL FRAUD INDICTMENTS LIKELYWith SCOTUS opening the complete tax record to SDNY, an immediate charge is predicted. #…"
NomadCovfefe,Donald Trump, Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption…
LOYALFAN1,Donald Trump, NEW VIDEO! #PleaseSaveTheseChildren  If you don't have a bright line for crimes against children you don't have a line.…
margaretjg24,Donald Trump," ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing…"
mediccaptfm,Donald Trump, Pissed off young people have the power to defeat Donald Trump. Fucking vote.  
Patrick19372738,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
IamLucyRicardo,Donald Trump, Fox News cut away from Donald Trump's campaign rally in Florida and aired Joe Biden's campaign rally speech in full.
Jesseba67848426,Donald Trump, Donald Trump 2020 the best President ever.
Cuds_1246,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
ASatMV,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…"
Lauryn2000,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
BurnsBuLinda91,Donald Trump, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
wbtegra,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
shrstraker,Donald Trump,"Jack Nicklaus Says He Voted For Donald Trump, Encourages Others To As Well If They Don’t Want Country To ‘Evolve In… "
cindy_mcphee,Donald Trump, 💥 POLL 💥Who are you voting for in the Presidential Election?President Trump already has my vote👍… 
kmctee,Donald Trump," In conjunction with The Lincoln Project, San Antonio Spurs' Gregg Popovich--who has been an outspoken critic of President Do…"
JoeForMissouri,Donald Trump, Donald Trump is on track to become the worst jobs president in modern American history. 
traceygaughran,Donald Trump, Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  …
_ericroyer,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
SFinEville,Donald Trump," So much time and energy squandered because we entrusted the White House to the most corrupt, incompetent person imaginable.…"
SampleATL,Donald Trump, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
BlancheBullshit,Donald Trump, GOD BLESS THE U.S.A. AND PRESIDENT DONALD TRUMP ** BLANCHE  via 
OMAHAGEMGIRL,Donald Trump," A fake ""intelligence"" document about Hunter Biden that was later disseminated by close associates of President Donald…"
BlancheBullshit,Donald Trump,GOD BLESS THE U.S.A. AND PRESIDENT DONALD TRUMP ** BLANCHE  via 
anorsowrthy,Donald Trump," BREAKING:  Donald Trump just called the process of counting all the votes, ""stealing an election.""How can anyone suppo…"
Bobbyda61728236,Donald Trump, Already cast my vote for Donald Trump
SPQ_ESQ,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
JWC0506,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
GailReeb,Donald Trump, Fox News cut away from Donald Trump's campaign rally in Florida and aired Joe Biden's campaign rally speech in full.
JoshPainter2154,Donald Trump, It’s very on brand with today’s Republican Party to choose a MAGA rally with Donald Trump over a much larger television audien…
maudlinaly,Donald Trump, ‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…
rogueMrsJ,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
XrstnSaintPhoto,Donald Trump, Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9…
marchmatron,Donald Trump, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
RadioShawnSC,Donald Trump,Lil Wayne Praises Donald Trump Over ‘Platinum Plan’ Meeting 
shrstraker,Donald Trump," Jack Nicklaus Says He Voted For Donald Trump, Encourages Others To As Well If They Don’t Want The Country To ‘Evolve Into…"
adorbdeplorb,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
amyglumpkin,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Charleysgirl_23,Donald Trump, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
martfluck,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
ZeroSkillZack,Donald Trump,"Oof, y’all really hurt behind this Lil Wayne &amp; Donald Trump situation huh? I’m gonna let y’all figure out what’s wrong with yourself.."
evabai,Donald Trump, Donald Trump is talking about China again.A reminder.#TrumpMadeInChina 
annita_bowman,Donald Trump, Unraveling Lindsey Graham takes bizarre shot at Donald Trump 
BrianTr03923678,Donald Trump,"Wait until people like LIL John and LIL Wayne get pushed by the left to get ""WOKE"" and denounce Donald trump, becau… "
sweeterthanhon,Donald Trump, There is no democracy under Donald J. Trump
kat_pep_,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
a2g1215598,Donald Trump, Fox News just cut off Donald Trump and aired Joe Biden instead 
PeabsLord,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Beto4US,Donald Trump," Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. “Break the law here, and I’ve got somet…"
CheviotCourt,Donald Trump, Donald Trump is something much worse than an apparent sociopath or psychopath. He is man without a personal life narrat…
shrstraker,Donald Trump,Former NFL Quarterback Jay Cutler Shares Jack Nicklaus’ Endorsement Of President Trump  via 
aeharris2017,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
ArmyMcCarthy,Donald Trump," “This is why we, two Orthodox American-Israelis and former IDF soldiers who care deeply about Israel’s safety, will be vot…"
swinging_volley,Donald Trump," No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC…"
mwamsley5,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Sissymoon1956Ce,Donald Trump," Philly DA Throws Down Over Trump Poll Watchers: We Won't Be Cowed By A 'Despot'. “Break the law here, and I’ve got somet…"
Stevens18Clint,Donald Trump," Donald Trump, Boris Johnson and Peter Dutton have all had COVID-19. Has any one of them come out and said; “This is a hor…"
LOYALFAN1,Donald Trump," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…"
