user,Subject,text
kris_larrosa,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
charlesbolen,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
CtheFirefly,Donald Trump,"     Like I said, either he’s using the racists for thei… "
Ritalinhead,Donald Trump, David Letterman calling Donald Trump a straight-up racist. In 2012... 
scrumdilly791,Donald Trump, This is the result of Donald Trump's immigration plan. 
PlayaSharon,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
moyzh76,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
PlayaSharon,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
LefevreFrancie,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
Creative_ive,Donald Trump," BREAKING: After endorsing Donald Trump, rapper Lil Wayne is no longer black according to Joe Biden"
JeremyWard33,Donald Trump, What was Donald Trump doing in London?
RachelTheResist,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
NJPhillyGrl,Donald Trump, Donald Trump is #AmericasGreatestMistake
_elijahmalik29,Donald Trump,I just saw a Joe Biden meme as an official Donald trump YouTube campaign ad 😭 I hate it here
PuddyAllen,Donald Trump, “They lied to you about Donald Trump. They lied about Brett Kavanaugh. They lied about children in cages. Hell- they eve…
JWright756,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
Cahnite,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
SEFWB,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
kearny2014,Donald Trump, Donald Trump has proven time and time again that he is incapable of leading our country through this crisis.
Bizzlite,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
francois_sloan,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
pushandpulljlm,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
KathleenBrenne1,Donald Trump," Donald Trump Jr. said covid-19 deaths are at 'almost nothing.' The virus killed more than 1,000 Americans the same day. https:…"
francois_sloan,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
AlexSElliot,Donald Trump, Donald Trump is #AmericasGreatestMistake
Sundaylofan2,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
catmamiii,Donald Trump, The ones who internalize(d) hating Donald Trump from the media are the ones that will be our downfall. If Trump wins and they…
ShinderSuzan,Donald Trump, Donald Trump is on track to become the worst jobs president in modern American history. 
esavage10124,Donald Trump, Donald Trump is #AmericasGreatestMistake
TexInvestments,Donald Trump, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
JoeMGoldner,Donald Trump," Joe Biden gets aging Bon Jovi and CHER, President Donald Trump gets Lil Wayne."
SaltPepperNSoul,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
sescen3,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…"
DoldineR,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
femfamaral,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
sadiesez1,Donald Trump, Donald Trump is #AmericasGreatestMistake
KeithQuintana,Donald Trump, Lil Wayne has just endorsed Donald Trump.
Tiredof2020,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
revrrlewis,Donald Trump,"Ainsley Earhardt: ""People are calling it a referendum election, whether or not it's a referendum on Donald Trump or… "
RonaldB31885003,Donald Trump,"The Flu is more deadly!Don Jr. Says COVID Deaths Are ‘Almost Nothing’ on Day 1,000-Plus Die  #SmartNews"
mkr99,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
EliseHolzworth,Donald Trump,"No, Donald Trump didn't save Christianity:  He is about White Evangelical Nationalism  via "
Ibjrw,Donald Trump, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
nicole_bertrand,Donald Trump, I’ve spent my entire career fighting for the middle class and standing up to the abuse of power.Donald Trump has spent his…
dreamweaver4067,Donald Trump, How a fake persona laid the groundwork for a Hunter Biden conspiracy deluge: A 64-page document that was later disseminated by…
ResedaRocks,Donald Trump, Donald Trump will spend the much of the coming days making wild claims about the economy.Here's what he won't tell you:…
PenderGOP,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
BFF808,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
RogerKnisely,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
dwighttshaver,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
Hardtke_ME,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
patty_james,Donald Trump," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…"
fairywench_1,Donald Trump, Donald Trump is on track to become the worst jobs president in modern American history. 
buddy_dek,Donald Trump,How Trump got away with hiding his Chinese business #YWeNeed2CHisTaxes  via 
fabaceae,Donald Trump, Donald Trump is #AmericasGreatestMistake
theshaneedwards,Donald Trump," Pictures and footage posted to social media showed sisters Haven and Koti Garza, who live in Edmond, Oklahoma, dressed as rival…"
radica32113943,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
bethmoi,Donald Trump," I’ve said it before, I’ll say it again, and I’ll keep saying it until he’s held accountable: Donald Trump is the most corrupt…"
caderoux,Donald Trump," Editor: in graf 4 it should be “your” not “you’re”Greenwald: That’s censorship, Biden-lackeyEditor: Um...Greenwald: This i…"
pspoole,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
hcmomtobe,Donald Trump, This is the result of Donald Trump's immigration plan. 
juliekane99,Donald Trump," President Trump has been saying that a winner has to be announced on Election Night. In reality, multiple laws require cons…"
nicole_bertrand,Donald Trump, I don’t look at this the way Donald Trump does — blue states or red states. They’re all the United States.
shannonmh72,Donald Trump, Civil rights leader and Christian activist Rev. William Owens endorsed Donald Trump for president. …
ElectricTorque3,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
kahl_m,Donald Trump, This is the result of Donald Trump's immigration plan. 
USINDO,Donald Trump,Pompeo wraps up anti-China tour of Asia in Vietnam.  #USINDODailyNews
RogerKnisely,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
sadiesez1,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
nicole_bertrand,Donald Trump, Donald Trump should release his tax returns or shut up about corruption.
francois_sloan,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
BethWalke1,Donald Trump, Donald Trump is #AmericasGreatestMistake
hailey_zoesdad,Donald Trump, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
andy_schulte,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
KamalaHarris47,Donald Trump, “I did try and fuck her. She was married. I moved on her like a bitch. But I couldn’t get there.”… 
waterfarmer33,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
esavage10124,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
mommymessick,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
emilydangerband,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
2ftnothing,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
Michrf56061041R,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
SomeSpacePirate,Donald Trump, In context that's fairly cheap. 
raissimplychic,Donald Trump," GDP rose last quarter, but visits to food banks haven’t slowed, and poverty has grown. We’re on track for the worst economic…"
lorigeishecker,Donald Trump,"With a smile.  #happywarrior The Daily Caller: Woman Standing Behind Trump At Rally Tears Up Pictures Of Pelosi, Sc… "
Jenluvalatte,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
Mr_Jay369,Donald Trump," President Donald Trump met with rap star Lil Wayne at his resort in Doral, Florida Thursday."
JeremySilverma1,Donald Trump, NEW VIDEO: The U.S. is the oldest continuous democracy in the world. Trump is the first president in history to refuse…
jeanwood,Donald Trump," 🇺🇸✡️ — VIDEO: Leading orthodox Rabbi in the United States, Rabbi Shmuel Kaminetzky (95) endorses President Trump for re-elec…"
KamalaHarris47,Donald Trump,  “I did try and fuck her. She was married. I moved on her like a bitch. But I couldn’t get th… 
Dudes5050,Donald Trump," Cooper lip-syncs Trump and Mirren plays Billy Bush in the bit for the comedian's new Netflix show, ""Everything's Fine."" https…"
andy_schulte,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
ShinderSuzan,Donald Trump," Even if Trump loses on November 3rd, Trump Jews are here to stay, and they're not just in America …"
varsbergs,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
RealMajorThom,Donald Trump,New audio tapes show how Trump bet against science
KamalaHarris47,Donald Trump,   “I did try and fuck her. She was married. I moved on her like a bitch. But… 
shelleypowers,Donald Trump," Editor: in graf 4 it should be “your” not “you’re”Greenwald: That’s censorship, Biden-lackeyEditor: Um...Greenwald: This i…"
Janicehello2,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
DwayneMcDevitt,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
richjets,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
Testaclease5,Donald Trump,Open Letter to President Donald Trump - Catholic Family NewsThis really speaks for itself.  Circulate as you may… 
verbalrugby,Donald Trump,"Donald Trump Jr. claims U.S. COVID deaths are 'almost nothing' on day over 1,000 people die … "
SilverMaceChief,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
KiousFedra,Donald Trump,"Donald Trump JR must be the most IGNORANT or BIGGEST LIAR in the Trump Infestation! He just said, ""talking about de… "
fox5ny,Donald Trump,"Pictures and footage posted to social media showed sisters Haven and Koti Garza, who live in Edmond, Oklahoma, dres… "
mnation,Donald Trump," GDP rose last quarter, but visits to food banks haven’t slowed, and poverty has grown. We’re on track for the worst economic…"
SallyShermen,Donald Trump,  And then there's Donald Trump.... leaving his supporters out in the storm to get hypothermia.
CraigClassic1,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
CarolineShatz,Donald Trump," COVID-19 deaths:United States: 225,000Population: 328.2 millionCOVID-19 deaths:Canada: 9,963Japan: 1,716Australia: 9…"
StephyThorn_,Donald Trump," Donald Trump and Republicans had a choice: Take charge of this virus and pass a relief bill, or push through a Supreme Co…"
ang9smith,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
KamalaHarris47,Donald Trump,  “I did try and fuck her. She was married. I moved on her like a bitch. But I couldn… 
varsbergs,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
HelenaofTroy60,Donald Trump,Trump knew all along his Oct Surprise was the laptop conspiracy. He did it again but this time he let his cronies t… 
toridrel,Donald Trump," Joe Biden: ""Donald Trump inherited a strong economy from Barack and me -- just like he inherited everything in his life."" http…"
PhyllisHershkow,Donald Trump,Who Is Donald J. Trump? Narrated By Julianne Moore | NowThis  via 
texas_bourne,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
TrekkiesforPete,Donald Trump, Show this clip to all of the people you know who support Donald Trump and claim he isn’t a racist.Decades of documentatio…
SaltPepperNSoul,Donald Trump,  Reality: 1000 Americans died of coronavirus yesterday. I doubt that their grieving family members consider that t…
broncsbomber27,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
dirden_brenda,Donald Trump, Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9…
littlewolfpub,Donald Trump, Donald Trump is #AmericasGreatestMistake
mzee26,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
badkittyscenic,Donald Trump, Donald Trump is on track to become the worst jobs president in modern American history. 
MitchEganSlate,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
tischler_ann,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
mac_gardiner12,Donald Trump," We are going up on radio in small, African American communities in Florida – places that neither party pays much attention…"
MoreyCohen,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
islandnae,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
JoyceJuliano1,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
BekahBerger,Donald Trump,"The year is 2008. Lollipop is everywhere. A friend says to you, “in the year 2020 Lil Wayne is going to endorse Pre… "
BelowAvgJoeshow,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
AlexSElliot,Donald Trump, Fact check here: 
Notradiofan,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
kahl_m,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
carmenisabel17,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
tischler_ann,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
JohnMDoyle_FL,Donald Trump, This is the result of Donald Trump's immigration plan. 
jackslavinjr,Donald Trump,"Hey ,“Just one week after thousands of people gathered at the Airport in Gastonia, North Carolina… "
cindermis,Donald Trump, The only hoax is Donald Trump.
fetch_lou,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
jann0107,Donald Trump, No shocker there.A 64-page document that was later disseminated by close associates of President Donald Trump appears…
ricksezit,Donald Trump,"A vote for Donald Trump is a vote for “character doesn’t matter.” Fathers, ask yourself “would you let your daughte… "
LetsTrySanity,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
GustavoColsKL,Donald Trump,The chairman of the Wisconsin Republican Party says hackers stole $2.3 million from an account being used to help r… 
jawss8895,Donald Trump,"We have been plagued with calamaties since January. If Donald Trump will lose in the elections, it would be the best event in 2020."
proudphilistine,Donald Trump, This is the result of Donald Trump's immigration plan. 
IAmANastyWoman2,Donald Trump, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
Hardrick3,Donald Trump, This is the result of Donald Trump's immigration plan. 
magost,Donald Trump," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…"
dcbgolfer,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
landon_keim,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
chaposz1,Donald Trump, Donald Trump is #AmericasGreatestMistake
Dannyisfunny,Donald Trump, Donald Trump is a man without character. It’s why I wrote “A Warning”...and it’s why me &amp; my colleagues have spoken out…
randall_reetz,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
Dannyisfunny,Donald Trump," BREAKING: Miles Taylor, former Homeland Security chief of staff and outspoken Trump critic, says he wrote the 2018 ""Anonymous"" op-e…"
billkoehl,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
cynthiar1160,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
NUEagle,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
srussell012,Donald Trump, Donald Trump is #AmericasGreatestMistake
Soxbluto,Donald Trump," GDP rose last quarter, but visits to food banks haven’t slowed, and poverty has grown. We’re on track for the worst economic…"
happycamper712,Donald Trump," “Mitch McConnell boasted about blocking former president Barack Obama's judicial appointments, a two-yea… "
ClintJa21461144,Donald Trump," MSNBC’s Joe Scarborough: ""Donald Trump is going to be able to run around and say this last quarter the economy grew at…"
Valkyr101,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
ozmox,Donald Trump, America’s reputation abroad has plunged during Donald Trump’s presidency. Confidence that he will do the right thing in w…
Sheridan543,Donald Trump, NEW VIDEO: The U.S. is the oldest continuous democracy in the world. Trump is the first president in history to refuse…
Energizer_Girl,Donald Trump, It’s 2:30 in the morning and Donald Trump is completely melting down right now 
RaedlerKristine,Donald Trump,  Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt cancel…
AlexSElliot,Donald Trump, The only hoax is Donald Trump.
Explicit_Jon,Donald Trump, “They lied to you about Donald Trump. They lied about Brett Kavanaugh. They lied about children in cages. Hell- they eve…
barbseem,Donald Trump,  Reveal athe Donald’s taxes.  What is he hiding?#TrumpCrimeFamily 
JoeMGoldner,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
podvolochysk,Donald Trump," We need 3,000 retweets on this by 11 AM Thursday: we are only 24.8K followers away from hitting HALF A MILLION FOLLOWERS.…"
dmwood33,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
Denis_Buchholz,Donald Trump, Donald Trump is the WORST jobs president in American history.NO OTHER PRESIDENT IN HISTORY has lost as many jobs as Do…
pcinla2000,Donald Trump, At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
livvie756,Donald Trump, ‘Trump rally sounds like Hitler in Berlin! Fuck Donald Trump’✌🏻
MatterT62,Donald Trump," Joe Biden gets aging Bon Jovi and CHER, President Donald Trump gets Lil Wayne."
JeremySilverma1,Donald Trump, Donald Trump is on track to become the worst jobs president in modern American history. 
lee_colsohio,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Berger1Rich,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
BanzaiM4,Donald Trump,8 reasons to vote for Donald Trump  via 
DJParticle,Donald Trump,The 2024 race will be Kamala Harris vs. Ivanka Trump (with Donald Trump having died and Biden deciding not to seek… 
hendu73,Donald Trump," NEW: Rapper Lil Wayne meets with Pres. Donald Trump on the administration's proposed plan for Black America: ""He listened to what…"
Triguy45Tony,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
Vickylancaste10,Donald Trump," 'Another 4 Years': Golf Legend Jack Nicklaus Voted For Donald Trump, Encourages Others To Do The Same …"
ItsMeMannyC,Donald Trump, “They lied to you about Donald Trump. They lied about Brett Kavanaugh. They lied about children in cages. Hell- they eve…
gregpotts26,Donald Trump, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
BarbHinton2,Donald Trump, JUST IN:  Civil Rights Leader Rev. William Owens Endorses Donald TrumpThe walk away #BLEXIT tour continues🤗…
22carrionl,Donald Trump, This is the result of Donald Trump's immigration plan. 
redapple1960,Donald Trump, The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
INvisibleResist,Donald Trump, Donald Trump is #AmericasGreatestMistake
NancyDubensky,Donald Trump, It’s very on brand with today’s Republican Party to choose a MAGA rally with Donald Trump over a much larger television audien…
maineacbagboy1,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
pushandpulljlm,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
WoodsNorthern,Donald Trump," If you voted for Donald Trump or plan on voting for Trump, LISTEN UP!Let’s win 4 more years. Take 30 seconds out of…"
JohnMDoyle_FL,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
EcoBoulder,Donald Trump," Cooper lip-syncs Trump and Mirren plays Billy Bush in the bit for the comedian's new Netflix show, ""Everything's Fine."" https…"
1123amyd,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
Hardrick3,Donald Trump, Donald Trump is #AmericasGreatestMistake
EarlHarrisPhoto,Donald Trump," NEW VIDEO: Lindsey Graham is a disgrace, and is one of the worst representatives out of anyone in the United States. H…"
nicole_bertrand,Donald Trump, It’s simple: Donald Trump thinks health care is a privilege. I think it is your right.
LaurieAsquith,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
laben101,Donald Trump, There’s nothing conservative about Donald Trump. Nothing. #RepublicansForBiden
flakehouse,Donald Trump, Donald Trump is #AmericasGreatestMistake
CraftyPsycho,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
peeche,Donald Trump, NEW VIDEO! #PleaseSaveTheseChildren  If you don't have a bright line for crimes against children you don't have a line.…
KevinJoyce419,Donald Trump, An American President attacking American democracy in advance of an election has simply never been seen before. But Donald T…
nazuzuwin,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
STH4LIFE1973,Donald Trump, Donald Trump literally appointed three Supreme Court Justices who are prepared to strike down the entire Voting Rights Act…
annemerry,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
Traycrb,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
SesshaBatto,Donald Trump, Donald Trump is #AmericasGreatestMistake
JanetBallReed2,Donald Trump," I only wish that all the Trump supporters would see this woman's message. Her words are really for them.""I hope the Ameri…"
JakeDubzz,Donald Trump," Republicans came down harder on Alexandria Ocasio-Cortez for wearing $14,000 worth of clothing in Vanity Fair than they d…"
kathy_levy,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
sadiesez1,Donald Trump,  I don’t want someone in the WH who wants to suppress the votes of our military. That’s why I’m votin…
KA320K,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
TexansRevolt,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
SharoninFlorida,Donald Trump," Donald Trump Stokes Fear In The Suburbs, But Few Low-Income Families Ever Make It There | Via: NPR …"
varsbergs,Donald Trump," Republicans came down harder on Alexandria Ocasio-Cortez for wearing $14,000 worth of clothing in Vanity Fair than they d…"
hkwizard3,Donald Trump, The FBI is completely compromised and Donald Trump is not safe in my opinion.
djmincey11,Donald Trump, This is the result of Donald Trump's immigration plan. 
brian_burch,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
roseisgrigg,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
nicole_bertrand,Donald Trump," I believe in science.Donald Trump doesn't.It's that simple, folks."
Delizl225,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
iowafilmbuff,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
lorinveltre,Donald Trump," Donald Trump will go down as the most beloved President ever.God bless you, best President Trump! We all love and supp…"
texas_bourne,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
MaryAnnGreanier,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
hehvac,Donald Trump," Cooper lip-syncs Trump and Mirren plays Billy Bush in the bit for the comedian's new Netflix show, ""Everything's Fine."" https…"
AbuelitaChel,Donald Trump," Donald Trump is more of a terrorist to America than any domestic or foreign threat. He has ruined our economy, health car…"
barbseem,Donald Trump, And The Donald is hiding his taxes. Looks corrupt to me.  #TrumpCrimeFamily By the way where is… 
kathy_levy,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
DellaBranson,Donald Trump, This is the result of Donald Trump's immigration plan. 
just_1_vote,Donald Trump,"  Let’s talk about actual crime convictions and not “investigations”.  Like, stealing fro… "
rccheatham56,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
iron_eliza,Donald Trump," We are going up on radio in small, African American communities in Florida – places that neither party pays much attention…"
nicole_bertrand,Donald Trump, Donald Trump is on track to become the worst jobs president in modern American history. 
MoniquesNewer,Donald Trump, There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
JennySmith2921,Donald Trump, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
Soulsirkus13,Donald Trump, David Letterman calling Donald Trump a straight-up racist. In 2012... 
karen5735,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
CaliDimples,Donald Trump, Civil rights leader and Christian activist Rev. William Owens endorsed Donald Trump for president. …
KingCeceliaking,Donald Trump, The only hoax is Donald Trump.
atomicsmiles,Donald Trump, Farage says he can dodge US travel ban because he's a 'journalist' 
pah194856,Donald Trump, Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
yeahimthatgood,Donald Trump, Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
SteavenRamirez,Donald Trump, Lawyers for Donald Trump and Joe Biden are poring over arcane federal law to prepare for the possibility that a close or cont…
MikeDSully,Donald Trump, Wanted: assessment of why Bush-era war criminals are suddenly the darlings of the Rachel Maddow #Resistance-and-smart glasses…
bellaby99,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
mamidearest38,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
gfro,Donald Trump,I think after the Lil Wayne endorsement it’s obvious. I gotta vote Donald Trump.
SpeakingBold,Donald Trump," ""Democrats are turning out at lower rates than Republicans and at lower rates than at this point in 2016, when Hillary Cl…"
kissncook,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
castnopearls76,Donald Trump, Open Letter to President Donald Trump - Catholic Family NewsThis really speaks for itself.  Circulate as you may see fi…
nazhoma,Donald Trump, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via 
DebbieCotter7,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
